,round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,kernel_initializer,last_activation,losses,optimizer
40,30,0.003200410118785779,0.9991843104362488,0.9991850256919861,0.006393544397316113,0.9980072975158691,0.9980424046516418,relu,30,0.1,30,40,uniform,softmax,categorical_crossentropy,adadelta
41,30,0.004143553205460407,0.9925774931907654,0.9924052357673645,0.004193506368585431,0.9931477904319763,0.9932976365089417,elu,128,0.0,30,10,normal,sigmoid,mean_squared_error,adadelta
42,10,0.0056670417995933475,0.9888254404067993,0.9889801144599915,0.005984355471249603,0.9901762008666992,0.9901819229125977,elu,60,0.2,10,16,normal,softmax,mean_squared_error,Adam
43,20,0.0048253060104512,0.9909461736679077,0.9909716248512268,0.010025962648709346,0.9758775234222412,0.9772352576255798,relu,60,0.2,20,10,normal,softmax,mean_squared_error,adadelta
44,30,0.007880406307746302,0.9977161288261414,0.9977213740348816,0.012367505514026605,0.9960495233535767,0.9960888624191284,relu,128,0.2,30,40,uniform,softmax,categorical_crossentropy,Adam
45,30,0.010803632886194283,0.9958401322364807,0.9958537817001343,0.013793495923282937,0.9953503012657166,0.9952477216720581,relu,60,0.2,30,28,uniform,softmax,categorical_crossentropy,adadelta
46,10,0.025013024682637917,0.9902936220169067,0.7613248825073242,0.031585453053926724,0.9889875650405884,0.7605706453323364,relu,128,0.2,10,34,uniform,sigmoid,categorical_crossentropy,adadelta
47,30,0.0031142501608965294,0.9991843104362488,0.9991850256919861,0.006736627022239255,0.9977625608444214,0.9977641105651855,relu,30,0.2,30,28,uniform,softmax,categorical_crossentropy,Adam
48,20,0.0026824939290021822,0.9947797656059265,0.9948766827583313,0.0035058832814729795,0.9938470125198364,0.9938555359840393,elu,60,0.2,20,40,uniform,softmax,mean_squared_error,adadelta
49,60,0.002351050369812215,0.9995105862617493,0.99951171875,0.004246769290950882,0.9988462924957275,0.9988490343093872,relu,128,0.1,60,40,normal,softmax,categorical_crossentropy,adadelta
50,10,0.006965543281409543,0.9876835346221924,0.9873743057250977,0.009409595535075158,0.9837784767150879,0.9839712977409363,elu,60,0.2,10,10,normal,sigmoid,mean_squared_error,adadelta
